DATAFLOW,LAST UPDATE,freq,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,AL,2017,7.47,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,AL,2018,6.98,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,AL,2019,6.38,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,AL,2020,5.86,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,AT,2011,4.12,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,AT,2012,4.20,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,AT,2013,4.11,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,AT,2014,4.13,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,AT,2015,4.05,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,AT,2016,4.09,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,AT,2017,4.29,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,AT,2018,4.04,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,AT,2019,4.17,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,AT,2020,4.11,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,AT,2021,4.08,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,BE,2011,3.86,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,BE,2012,3.95,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,BE,2013,3.81,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,BE,2014,3.81,
